,total assets
2024-01-05,128450.33000000002
2024-01-09,131081.83000000002
2024-01-10,131169.83000000002
2024-01-11,133273.33000000002
2024-01-12,134899.83000000002
2024-01-15,136029.83000000002
2024-01-16,138128.83000000002
2024-01-17,137239.83000000002
2024-01-18,134675.83000000002
2024-01-19,133417.83000000002
2024-01-22,133534.83000000002
2024-01-23,136295.83000000002
2024-01-24,135151.33000000002
2024-01-25,131895.33000000002
2024-01-26,131494.33000000002
2024-01-29,130940.83000000002
2024-01-30,131952.83000000002
2024-01-31,132032.83000000002
2024-02-01,133365.83000000002
2024-02-02,131278.33000000002
2024-02-05,133038.83000000002
2024-02-06,135585.83000000002
2024-02-07,134592.83000000002
2024-02-08,135809.33000000002
2024-02-09,135881.33000000002
2024-02-13,135736.33000000002
2024-02-14,135160.83000000002
2024-02-15,132755.83000000002
2024-02-16,131610.83000000002
2024-02-19,135505.83000000002
2024-02-20,136527.83000000002
2024-02-21,136588.33000000002
2024-02-22,136542.33000000002
2024-02-26,138816.33000000002
2024-02-27,139376.33000000002
2024-02-28,140035.83000000002
2024-02-29,142566.33000000002
2024-03-01,142035.83000000002
2024-03-04,144993.33000000002
2024-03-05,145270.83000000002
2024-03-06,146428.83000000002
